model,log,alg,time
g-25-20-20-10-25--20-20-20--30--25--19,log,astar,4195
g-25-20-20-10-25--20-20-20--30--25--2,log,astar,152
g-25-20-20-10-25--20-20-20--30--25--20,log,astar,2052
g-25-20-20-10-25--20-20-20--30--25--21,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--22,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--23,log,astar,12845
g-25-20-20-10-25--20-20-20--30--25--24,log,astar,1446
g-25-20-20-10-25--20-20-20--30--25--25,log,astar,1872
g-25-20-20-10-25--20-20-20--30--25--26,log,astar,2544
g-25-20-20-10-25--20-20-20--30--25--27,log,astar,8719
g-25-20-20-10-25--20-20-20--30--25--28,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--29,log,astar,2935
g-25-20-20-10-25--20-20-20--30--25--3,log,astar,1927
g-25-20-20-10-25--20-20-20--30--25--30,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--4,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--5,log,astar,60000
g-25-20-20-10-25--20-20-20--30--25--6,log,astar,21363
g-25-20-20-10-25--20-20-20--30--25--7,log,astar,73
g-25-20-20-10-25--20-20-20--30--25--8,log,astar,1705
g-25-20-20-10-25--20-20-20--30--25--9,log,astar,44
g-25-20-20-10-25--20-20-20--30--50--1,log,astar,208
g-25-20-20-10-25--20-20-20--30--50--10,log,astar,95
g-25-20-20-10-25--20-20-20--30--50--11,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--12,log,astar,57080
g-25-20-20-10-25--20-20-20--30--50--13,log,astar,668
g-25-20-20-10-25--20-20-20--30--50--14,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--15,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--16,log,astar,29583
g-25-20-20-10-25--20-20-20--30--50--17,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--18,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--19,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--2,log,astar,556
g-25-20-20-10-25--20-20-20--30--50--20,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--21,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--22,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--23,log,astar,6289
g-25-20-20-10-25--20-20-20--30--50--24,log,astar,430
g-25-20-20-10-25--20-20-20--30--50--25,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--26,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--27,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--28,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--29,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--3,log,astar,2868
g-25-20-20-10-25--20-20-20--30--50--30,log,astar,29
g-25-20-20-10-25--20-20-20--30--50--4,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--5,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--6,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--7,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--8,log,astar,60000
g-25-20-20-10-25--20-20-20--30--50--9,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--1,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--10,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--11,log,astar,1085
g-25-20-20-10-25--20-20-20--30--75--12,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--13,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--14,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--15,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--16,log,astar,82
g-25-20-20-10-25--20-20-20--30--75--17,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--18,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--19,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--2,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--20,log,astar,64
g-25-20-20-10-25--20-20-20--30--75--21,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--22,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--23,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--24,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--25,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--26,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--27,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--28,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--29,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--3,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--30,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--4,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--5,log,astar,92
g-25-20-20-10-25--20-20-20--30--75--6,log,astar,70
g-25-20-20-10-25--20-20-20--30--75--7,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--8,log,astar,60000
g-25-20-20-10-25--20-20-20--30--75--9,log,astar,60000
g-25-20-20-10-25--20-20-20--50--25--1,log,astar,60000
